user,lat_min,lat_max,lng_min,lng_max,arr_t,lea_t,lat,lng,radius,poi1,poi2
353,39.971357681,39.973049231,116.440731955,116.442615448,2012-03-29 00:21:38,2012-03-29 09:54:27,39.972203456,116.4416737015,123.63232048386172,美 食 ; 中 餐 厅 美 食 ; 小 吃 快 餐 店 美 食 ; 小 吃 快 餐 店 酒 店 生 活 服 务 ; 其 他 生 活 服 务 ; 其 他 丽 人 ; 美 发 教 育 培 训 ; 图 书 馆,医 疗 ; 其 他 医 疗 ; 疗 养 院 公 司 企 业 ; 公 司 生 活 服 务 ; 其 他 交 通 设 施 ; 停 车 场 交 通 设 施 ; 停 车 场 房 地 产 ; 住 宅 区 房 地 产 ; 内 部 楼 栋 房 地 产 ; 其 他 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 写 字 楼 房 地 产 ; 内 部 楼 栋 房 地 产 ; 宿 舍 房 地 产 ; 住 宅 区 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 住 宅 区 房 地 产 ; 宿 舍 房 地 产 ; 内 部 楼 栋 公 司 企 业 ; 公 司 公 司 企 业 ; 公 司 公 司 企 业 ; 公 司 公 司 企 业 ; 公 司 公 司 企 业 ; 公 司 政 府 机 构 ; 福 利 机 构 政 府 机 构 ; 党 派 团 体 政 府 机 构 ; 其 他 政 府 机 构 ; 行 政 单 位 政 府 机 构 ; 行 政 单 位 政 府 机 构 ; 行 政 单 位 政 府 机 构 ; 行 政 单 位
353,39.956953691,39.957684108,116.399366547,116.402202143,2012-03-30 11:27:27,2012-03-30 13:02:11,39.9573188995,116.400784345,127.48520332350064,美 食 ; 中 餐 厅 美 食 ; 中 餐 厅 美 食 ; 小 吃 快 餐 店 美 食 ; 中 餐 厅 美 食 ; 中 餐 厅 美 食 ; 中 餐 厅 美 食 ; 中 餐 厅 美 食 ; 中 餐 厅 酒 店 ; 快 捷 酒 店 购 物 ; 商 铺 购 物 ; 商 铺 生 活 服 务 ; 公 共 厕 所 生 活 服 务 ; 图 文 快 印 店 生 活 服 务 ; 其 他 生 活 服 务 ; 其 他 生 活 服 务 ; 其 他 生 活 服 务 ; 其 他 丽 人 ; 美 发 休 闲 娱 乐 ; 游 戏 场 所,道 路 ; 路 口 交 通 设 施 ; 其 他 道 路 ; 路 口 金 融 ; 银 行 金 融 ; a t m 房 地 产 ; 宿 舍 房 地 产 ; 内 部 楼 栋 房 地 产 ; 宿 舍 房 地 产 ; 住 宅 区 房 地 产 ; 内 部 楼 栋 公 司 企 业 ; 公 司
353,39.984626586,39.987005264,116.448278976,116.450778149,2012-03-30 13:12:30,2012-03-31 00:10:47,39.985815925,116.4495285625,169.776717792214,购 物 ; 便 利 店 购 物 ; 超 市 生 活 服 务 ; 洗 衣 店 生 活 服 务 ; 房 产 中 介 机 构 生 活 服 务 ; 洗 衣 店 生 活 服 务 ; 其 他 丽 人 ; 美 容 丽 人 ; 美 容 丽 人 ; 美 容 丽 人 ; 美 发 教 育 培 训 ; 幼 儿 园 教 育 培 训 ; 培 训 机 构,交 通 设 施 ; 停 车 场 房 地 产 ; 住 宅 区 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 生 活 服 务 ; 房 产 中 介 机 构 出 入 口
353,39.971804517,39.973416406,116.441460163,116.442684038,2012-03-31 00:20:56,2012-03-31 10:09:04,39.9726104615,116.4420721005,103.6843864873594,美 食 ; 中 餐 厅 美 食 ; 小 吃 快 餐 店 生 活 服 务 ; 其 他 丽 人 ; 美 发 教 育 培 训 ; 图 书 馆,交 通 设 施 ; 停 车 场 交 通 设 施 ; 停 车 场 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 住 宅 区 房 地 产 ; 其 他 房 地 产 ; 内 部 楼 栋 房 地 产 ; 写 字 楼 房 地 产 ; 内 部 楼 栋 房 地 产 ; 住 宅 区 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 住 宅 区 公 司 企 业 ; 公 司 公 司 企 业 ; 公 司 政 府 机 构 ; 党 派 团 体 公 司 企 业 ; 公 司 公 司 企 业 ; 公 司 公 司 企 业 ; 公 司 政 府 机 构 ; 其 他 政 府 机 构 ; 行 政 单 位 政 府 机 构 ; 行 政 单 位
353,39.894960631,39.896221638,116.312740602,116.315077836,2012-04-01 10:01:30,2012-04-01 11:20:14,39.8955911345,116.313909219,121.87902008521782,美 食 ; 茶 座 教 育 培 训 ; 科 研 机 构 教 育 培 训 ; 培 训 机 构 教 育 培 训 ; 培 训 机 构 教 育 培 训 ; 培 训 机 构,汽 车 服 务 ; 汽 车 销 售 出 入 口 交 通 设 施 ; 公 交 车 站 交 通 设 施 ; 路 侧 停 车 位 交 通 设 施 ; 停 车 场 交 通 设 施 ; 路 侧 停 车 位 交 通 设 施 ; 停 车 场 金 融 ; a t m 金 融 ; a t m 房 地 产 ; 写 字 楼 房 地 产 ; 内 部 楼 栋 房 地 产 ; 写 字 楼 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 公 司 企 业 ; 公 司 公 司 企 业 ; 公 司 公 司 企 业 ; 公 司 公 司 企 业 ; 公 司 公 司 企 业 ; 公 司 公 司 企 业 ; 公 司 公 司 企 业 ; 公 司 公 司 企 业 ; 公 司 汽 车 服 务 ; 汽 车 销 售 出 入 口 政 府 机 构 ; 行 政 单 位 政 府 机 构 ; 行 政 单 位 政 府 机 构 ; 行 政 单 位 政 府 机 构 ; 行 政 单 位 政 府 机 构 ; 行 政 单 位 政 府 机 构 ; 行 政 单 位 政 府 机 构 ; 行 政 单 位
353,40.008446758,40.010547135,116.461563633,116.464806354,2012-04-02 04:44:46,2012-04-02 08:27:52,40.0094969465,116.4631849935,180.84639602856623,生 活 服 务 ; 公 共 厕 所 生 活 服 务 ; 其 他 生 活 服 务 ; 其 他 旅 游 景 点 ; 景 点 旅 游 景 点 ; 景 点 旅 游 景 点 ; 其 他 旅 游 景 点 ; 景 点 旅 游 景 点 ; 景 点 旅 游 景 点 ; 景 点 旅 游 景 点 ; 景 点 旅 游 景 点 ; 景 点 旅 游 景 点 ; 景 点 休 闲 娱 乐 ; 剧 院 休 闲 娱 乐 ; 休 闲 广 场 教 育 培 训 ; 图 书 馆,交 通 设 施 ; 其 他 交 通 设 施 ; 其 他 道 路 ; 路 口 政 府 机 构 ; 其 他
353,40.00727839,40.010173279,116.463668811,116.465295331,2012-04-02 08:27:57,2012-04-02 10:07:56,40.0087258345,116.464482071,175.22048859652998,旅 游 景 点 ; 景 点,交 通 设 施 ; 其 他 交 通 设 施 ; 其 他 交 通 设 施 ; 路 侧 停 车 位 交 通 设 施 ; 停 车 场 交 通 设 施 ; 路 侧 停 车 位 交 通 设 施 ; 停 车 场 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 住 宅 区 政 府 机 构 ; 行 政 单 位 政 府 机 构 ; 各 级 政 府 政 府 机 构 ; 行 政 单 位 政 府 机 构 ; 行 政 单 位 政 府 机 构 ; 其 他 政 府 机 构 政 府 机 构 ; 行 政 单 位 政 府 机 构 ; 行 政 单 位 政 府 机 构 ; 公 检 法 机 构 行 政 地 标 ; 村 庄
353,39.985089418,39.986874117,116.448698064,116.450838104,2012-04-02 11:11:04,2012-04-03 03:12:41,39.9859817675,116.449768084,134.74587910184223,购 物 ; 便 利 店 购 物 ; 超 市 生 活 服 务 ; 洗 衣 店 生 活 服 务 ; 房 产 中 介 机 构 生 活 服 务 ; 洗 衣 店 生 活 服 务 ; 其 他 丽 人 ; 美 容 丽 人 ; 美 容 丽 人 ; 美 容 丽 人 ; 美 发 教 育 培 训 ; 幼 儿 园 教 育 培 训 ; 培 训 机 构,交 通 设 施 ; 停 车 场 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 生 活 服 务 ; 房 产 中 介 机 构 出 入 口
353,39.981362511,39.984221799,116.450723573,116.451572882,2012-04-04 06:45:33,2012-04-04 07:16:33,39.982792155,116.4511482275,163.0349058353278,,房 地 产 ; 住 宅 区 公 司 企 业 公 司 企 业 ; 公 司 交 通 设 施 ; 接 送 点 出 入 口
353,39.986283036,39.988138834,116.474265274,116.476697918,2012-04-04 07:46:17,2012-04-04 10:30:00,39.987210935,116.475481596,146.23333081839624,美 食 ; 外 国 餐 厅 美 食 ; 小 吃 快 餐 店 生 活 服 务 ; 其 他 生 活 服 务 ; 物 流 公 司,医 疗 ; 诊 所 汽 车 服 务 ; 汽 车 销 售 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋 房 地 产 ; 内 部 楼 栋
