user,lat_min,lat_max,lng_min,lng_max,arr_t,lea_t,lat,lng,radius,poi3
353,40.043319,40.04642,116.426844,116.4285,2010-05-08 01:18:11,2010-05-08 01:49:32,40.0448695,116.427672,186.25915398188383,", 文 化 传 媒 ; 文 化 宫 , 出 入 口 ; 其 他 , 出 入 口 ; 其 他 , 出 入 口 ; 其 他 , 出 入 口 ; 停 车 场 出 入 口 , 出 入 口 ; 门"
353,40.030382,40.031577,116.412256,116.415609,2010-05-08 02:11:07,2010-05-08 05:02:36,40.0309795,116.4139325,157.44541619078612,", 出 入 口 ; 其 他 , 出 入 口 ; 其 他"
353,40.04413,40.047526,116.427189,116.427599,2010-05-08 18:34:41,2010-05-08 19:11:31,40.045828,116.427394,189.6139507490331,", 公 司 企 业 ; 公 司 , 出 入 口 ; 其 他 , 出 入 口 ; 其 他 , 出 入 口 ; 停 车 场 出 入 口 , 出 入 口 ; 其 他 , 出 入 口 ; 其 他 , 出 入 口 ; 停 车 场 出 入 口 , 出 入 口 ; 门"
353,39.984842,39.986982,116.448691,116.450606,2010-05-08 23:02:34,2010-05-09 15:45:10,39.985912,116.4496485,144.25968264276577,", 文 化 传 媒 ; 文 化 宫 , 出 入 口 ; 其 他 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门"
353,39.971617,39.972984,116.441248,116.442865,2010-05-09 15:56:09,2010-05-10 01:55:22,39.9723005,116.4420565,102.58177966005894,", 文 化 传 媒 ; 文 化 宫 , 出 入 口 ; 停 车 场 出 入 口 , 出 入 口 ; 停 车 场 出 入 口 , 出 入 口 ; 其 他 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口"
353,39.984733,39.987296,116.448311,116.451567,2010-05-10 02:09:27,2010-05-10 15:46:35,39.9860145,116.449939,198.856404888898,", 文 化 传 媒 ; 文 化 宫 , 出 入 口 ; 其 他 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门"
353,39.971278,39.973251,116.441237,116.443115,2010-05-10 16:00:05,2010-05-11 01:43:22,39.9722645,116.442176,135.77757768406886,", 文 化 传 媒 ; 文 化 宫 , 出 入 口 ; 停 车 场 出 入 口 , 出 入 口 ; 停 车 场 出 入 口 , 出 入 口 ; 其 他 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 , 出 入 口 ; 门 , 出 入 口 ; 门 , 房 地 产 ; 内 部 楼 栋"
353,39.984451,39.987245,116.448357,116.451211,2010-05-11 01:59:51,2010-05-11 15:33:54,39.985848,116.449784,197.2606886055561,", 文 化 传 媒 ; 文 化 宫 , 出 入 口 ; 其 他 , 出 入 口 ; 停 车 场 出 入 口 , 出 入 口 ; 其 他 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门"
353,39.971431,39.973194,116.440806,116.442723,2010-05-11 15:44:16,2010-05-12 03:23:12,39.9723125,116.4417645,127.58949785774185,", 文 化 传 媒 ; 文 化 宫 , 出 入 口 ; 停 车 场 出 入 口 , 出 入 口 ; 停 车 场 出 入 口 , 出 入 口 ; 其 他 , 出 入 口 ; 其 他 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 , 出 入 口 ; 门"
353,39.974524,39.975935,116.331121,116.332082,2010-05-17 02:16:08,2010-05-17 03:54:05,39.9752295,116.3316015,88.49032989623048,", 出 入 口 , 出 入 口 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 房 地 产"
