user,lat_min,lat_max,lng_min,lng_max,arr_t,lea_t,lat,lng,radius,category1,category2,week,weekday,day,cluster_id
0,39.999797,39.999962,116.321978,116.324318,2008-12-11 20:44:15,2008-12-11 22:18:34,39.9998795,116.323148,100.08258658079065,"教育培训,房地产,房地产,教育培训,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,公司企业,,出入口","其他,内部楼栋,内部楼栋,其他,内部楼栋,内部楼栋,内部楼栋,内部楼栋,内部楼栋,内部楼栋,内部楼栋,内部楼栋,内部楼栋,内部楼栋,内部楼栋,内部楼栋,内部楼栋,内部楼栋,内部楼栋,内部楼栋,内部楼栋,公司,,门",87,3,11,32
0,39.999569,40.000624,116.324205,116.32489,2008-11-14 17:08:33,2008-11-14 19:27:40,40.0000965,116.3245475,65.51029822183611,",出入口,出入口",",门,门",83,4,14,1
0,39.999727,40.001575,116.324469,116.324874,2008-11-18 17:33:46,2008-11-19 03:22:20,40.000651000000005,116.3246715,104.18209536623166,",出入口,出入口",",门,门",84,1,18,1
0,40.007282,40.007725,116.319257,116.321247,2008-11-13 20:50:44,2008-11-13 23:03:43,40.0075035,116.320252,88.25184183329843,"旅游景点,旅游景点,旅游景点,交通设施,,文化传媒,出入口","景点,景点,博物馆,停车场,,新闻出版,门",83,3,13,4
0,39.999489,40.001481,116.326819,116.327725,2009-04-15 01:28:53,2009-04-15 02:00:25,40.000485,116.327272,117.2798517118012,"生活服务,交通设施,交通设施,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产","公用事业,停车场,停车场,内部楼栋,内部楼栋,内部楼栋,内部楼栋,内部楼栋,内部楼栋,内部楼栋,内部楼栋,内部楼栋,内部楼栋,内部楼栋",105,2,15,32
0,40.009029,40.011253,116.321715,116.323394,2009-04-11 09:23:10,2009-04-11 16:51:00,40.010141,116.3225545,142.83258794677792,"酒店,生活服务,丽人,教育培训,教育培训,交通设施,交通设施,交通设施,交通设施,交通设施,房地产,房地产,房地产,政府机构,,出入口,出入口,出入口","公寓式酒店,公共厕所,美容,其他,科研机构,公交车站,公交车站,停车场,公交车站,公交车站,内部楼栋,内部楼栋,住宅区,行政单位,,其他,门,门",104,5,11,14
0,40.005988,40.007641,116.319491,116.321275,2008-11-14 08:29:20,2008-11-14 17:03:43,40.0068145,116.320383,119.23978423511292,"生活服务,生活服务,旅游景点,旅游景点,旅游景点,旅游景点,旅游景点,教育培训,交通设施,政府机构,,文化传媒,旅游景点,出入口,出入口,出入口","公共厕所,其他,景点,博物馆,风景区,博物馆,博物馆,科研机构,停车场,社会团体,,新闻出版,风景区,门,门,门",83,4,14,4
0,40.007309,40.008816,116.31928,116.3216,2008-11-11 21:07:49,2008-11-12 01:14:00,40.0080625,116.32044,129.5417903268129,"美食,生活服务,旅游景点,旅游景点,旅游景点,旅游景点,旅游景点,旅游景点,交通设施,,文化传媒,出入口","蛋糕甜品店,公共厕所,景点,景点,景点,景点,博物馆,景点,停车场,,新闻出版,门",83,1,11,4
0,40.007128,40.007924,116.319483,116.321381,2009-03-29 17:04:43,2009-03-29 19:47:22,40.007526,116.320432,92.15013036073124,"旅游景点,旅游景点,旅游景点,交通设施,,文化传媒,出入口","景点,景点,博物馆,停车场,,新闻出版,门",102,6,29,4
0,40.007088,40.008194,116.31931,116.321162,2009-04-16 07:42:15,2009-04-16 16:31:35,40.00764100000001,116.320236,100.00685655215362,"旅游景点,旅游景点,旅游景点,旅游景点,交通设施,,文化传媒,出入口","景点,景点,景点,博物馆,停车场,,新闻出版,门",105,3,16,4
