user,lat_min,lat_max,lng_min,lng_max,arr_t,lea_t,lat,lng,radius,category1,category2
0,39.973624,39.974876,116.33171,116.332728,2008-11-09 17:51:47,2008-11-09 19:28:07,39.97425,116.332219,82.01547590149615,",出入口,出入口,出入口,出入口",",停车场出入口,停车场出入口,门,门"
0,40.007309,40.008816,116.31928,116.3216,2008-11-11 21:07:49,2008-11-12 01:14:00,40.0080625,116.32044,129.5417903268129,",文化传媒,出入口",",新闻出版,门"
0,40.007874,40.010313,116.319783,116.323065,2008-11-12 01:14:05,2008-11-12 22:50:36,40.0090935,116.321424,194.73541426402213,",出入口",",门"
0,39.999569,40.001233,116.323682,116.324527,2008-11-13 03:06:24,2008-11-13 05:53:41,40.000401,116.3241045,99.26774202565645,",出入口,出入口",",门,门"
0,40.006587,40.007672,116.319286,116.321114,2008-11-13 06:11:11,2008-11-13 17:54:30,40.007129500000005,116.3202,98.4838364965852,",文化传媒,出入口,出入口",",新闻出版,门,门"
0,39.999394,40.001128,116.321833,116.32519,2008-11-13 17:59:30,2008-11-13 19:53:30,40.000261,116.3235115,172.44178746806688,",出入口,出入口,出入口,出入口,出入口,出入口,出入口,出入口,出入口,出入口,出入口,出入口",",门,门,门,门,门,门,门,门,门,门,门,门"
0,40.008812,40.010188,116.320382,116.322691,2008-11-13 19:57:05,2008-11-13 20:47:34,40.0095,116.3215365,124.58289068709698,",出入口",",门"
0,40.007282,40.007725,116.319257,116.321247,2008-11-13 20:50:44,2008-11-13 23:03:43,40.0075035,116.320252,88.25184183329843,",文化传媒,出入口",",新闻出版,门"
0,40.005988,40.007641,116.319491,116.321275,2008-11-14 08:29:20,2008-11-14 17:03:43,40.0068145,116.320383,119.23978423511292,",文化传媒,旅游景点,出入口,出入口,出入口",",新闻出版,风景区,门,门,门"
0,39.999569,40.000624,116.324205,116.32489,2008-11-14 17:08:33,2008-11-14 19:27:40,40.0000965,116.3245475,65.51029822183611,",出入口,出入口",",门,门"
0,39.998616,40.00055,116.323777,116.324659,2008-11-16 21:17:53,2008-11-17 07:54:23,39.999583,116.324218,113.89862178906708,",出入口,出入口,出入口,出入口,出入口,出入口,出入口",",门,门,门,门,门,门,门"
0,40.007358,40.009559,116.31949,116.323234,2008-11-17 08:15:48,2008-11-18 01:52:15,40.0084585,116.321362,200.98586394352483,",文化传媒,出入口",",新闻出版,门"
0,39.999727,40.001575,116.324469,116.324874,2008-11-18 17:33:46,2008-11-19 03:22:20,40.000651000000005,116.3246715,104.18209536623166,",出入口,出入口",",门,门"
0,40.007157,40.009551,116.319321,116.32043,2008-12-01 03:31:42,2008-12-01 23:11:36,40.008354,116.3198755,141.2308391135885,",文化传媒",",新闻出版"
0,40.005977,40.009017,116.319599,116.321282,2008-12-03 07:53:10,2008-12-03 15:52:44,40.007497,116.3204405,183.5851045015164,",文化传媒,出入口,出入口,出入口,旅游景点,出入口,出入口,出入口,出入口,出入口",",新闻出版,其他,,,风景区,门,门,门,门,"
0,39.999797,39.999962,116.321978,116.324318,2008-12-11 20:44:15,2008-12-11 22:18:34,39.9998795,116.323148,100.08258658079065,",出入口",",门"
0,40.007128,40.007924,116.319483,116.321381,2009-03-29 17:04:43,2009-03-29 19:47:22,40.007526,116.320432,92.15013036073124,",文化传媒,出入口",",新闻出版,门"
0,39.996387,39.999484,116.321841,116.322396,2009-03-30 17:13:04,2009-03-30 17:45:08,39.9979355,116.3221185,173.80061839992757,",文化传媒,出入口,出入口,出入口,出入口,出入口,出入口,出入口,出入口,出入口,出入口,出入口,出入口,出入口,出入口,出入口,出入口,出入口,出入口,出入口,公司企业",",其他,其他,其他,其他,其他,停车场出入口,停车场出入口,停车场出入口,门,停车场出入口,停车场出入口,停车场出入口,门,门,门,门,门,门,门,门,公司"
0,39.999425,40.000379,116.325026,116.327624,2009-03-30 20:29:16,2009-03-31 00:56:55,39.999902000000006,116.326325,122.70548726296371,",出入口,出入口",",门,门"
0,39.990463,39.991172,116.315774,116.317812,2009-03-31 01:49:20,2009-03-31 03:31:50,39.9908175,116.316793,95.34111164183484,",出入口,出入口,出入口,出入口,道路,出入口,出入口,出入口",",停车场出入口,停车场出入口,高速公路入口,停车场出入口,路口,门,门,门"
0,39.999769,40.00231,116.32579,116.327466,2009-03-31 21:23:17,2009-04-01 00:59:48,40.001039500000005,116.326628,158.28255718821077,",出入口,出入口",",门,门"
0,40.006236,40.008955,116.318253,116.321174,2009-04-01 01:42:48,2009-04-01 02:24:23,40.0075955,116.3197135,195.77023091905383,",文化传媒,出入口,出入口,旅游景点,出入口,出入口,出入口,出入口",",新闻出版,其他,,风景区,门,门,门,门"
0,39.99982,40.000119,116.324708,116.327434,2009-04-01 22:07:47,2009-04-02 01:44:01,39.9999695,116.326071,117.28510081683488,",出入口,出入口",",门,门"
0,40.006449,40.008544,116.317823,116.319851,2009-04-02 03:52:55,2009-04-02 07:17:28,40.0074965,116.318837,145.0021024615589,",文化传媒,出入口,出入口,出入口,出入口",",新闻出版,其他,,门,门"
0,40.00563,40.006903,116.323193,116.326262,2009-04-02 20:09:51,2009-04-02 21:16:15,40.0062665,116.3247275,148.63086897590156,",出入口,出入口,出入口,出入口",",,其他,门,门"
0,39.99817,40.000259,116.326591,116.327537,2009-04-02 22:00:35,2009-04-02 23:46:45,39.9992145,116.327064,122.9334329435854,",出入口,出入口,出入口,出入口,出入口",",门,门,门,门,门"
0,39.907177,39.909623,116.404735,116.405796,2009-04-04 03:22:44,2009-04-04 04:03:24,39.9084,116.4052655,143.3220031114637,",出入口,出入口,出入口,出入口,出入口,出入口",",其他,其他,其他,其他,其他,门"
0,39.94332,39.944823,116.375059,116.376937,2009-04-05 02:05:33,2009-04-05 03:26:18,39.9440715,116.375998,115.71879850508924,",出入口,出入口,出入口",",门,门,门"
0,39.991196,39.992944,116.325818,116.327225,2009-04-06 01:54:17,2009-04-06 02:39:52,39.99207,116.3265215,114.17810606240027,",出入口,出入口,出入口,出入口",",其他,其他,门,门"
0,40.009452,40.011736,116.321652,116.323977,2009-04-09 10:37:40,2009-04-09 18:21:20,40.010594,116.3228145,161.0206476809313,",出入口,出入口,出入口,出入口,出入口",",其他,其他,门,其他,门"
0,39.998036,40.000023,116.326744,116.327485,2009-04-09 18:26:30,2009-04-09 23:35:28,39.9990295,116.3271145,114.8919743594104,",出入口,出入口,出入口,出入口,出入口,出入口,出入口,出入口",",停车场出入口,门,门,门,门,门,门,门"
0,39.998728,40.00003,116.324865,116.327463,2009-04-10 06:03:33,2009-04-10 09:05:48,39.999379000000005,116.326164,132.2256792218255,",出入口,出入口,出入口",",门,门,门"
0,40.009371,40.011602,116.321318,116.323969,2009-04-10 09:11:48,2009-04-10 21:26:58,40.0104865,116.3226435,167.71893972692692,",出入口,出入口,出入口,出入口,出入口",",其他,其他,门,其他,门"
0,39.99968,40.000275,116.32392,116.327382,2009-04-10 22:24:48,2009-04-10 23:21:27,39.9999775,116.325651,151.11292284874324,",出入口,出入口,出入口,出入口,出入口,出入口",",门,门,门,门,门,门"
0,39.998657,40.000042,116.324918,116.327456,2009-04-11 06:12:49,2009-04-11 09:16:45,39.9993495,116.326187,132.71785984433575,",出入口,交通设施,出入口,出入口",",门,停车场,门,门"
0,40.009029,40.011253,116.321715,116.323394,2009-04-11 09:23:10,2009-04-11 16:51:00,40.010141,116.3225545,142.83258794677792,",出入口,出入口,出入口",",其他,门,门"
0,39.9988,40.000168,116.325446,116.327479,2009-04-11 16:57:50,2009-04-11 23:34:19,39.999484,116.3264625,115.2476947194398,",出入口,出入口,出入口",",门,门,门"
0,39.998851,40.000206,116.324809,116.327939,2009-04-12 06:10:25,2009-04-12 09:16:39,39.9995285,116.326374,153.1227148474608,",出入口,出入口,出入口,出入口,出入口",",门,门,门,门,门"
0,40.009389,40.011375,116.321511,116.323854,2009-04-12 09:23:59,2009-04-12 21:10:11,40.010382,116.3226825,148.8179209782983,",出入口,出入口,出入口,出入口",",其他,其他,门,门"
0,39.998056,40.000278,116.326689,116.327658,2009-04-12 21:55:46,2009-04-12 23:34:43,39.999167,116.3271735,130.24916474415045,",出入口,出入口,出入口,出入口,出入口,交通设施,出入口,出入口,出入口,出入口",",停车场出入口,门,门,门,门,停车场,门,门,门,门"
0,39.999709,40.000005,116.324882,116.327402,2009-04-13 06:08:28,2009-04-13 06:48:08,39.999857000000006,116.326142,108.58197278203954,",出入口,出入口",",门,门"
0,40.009139,40.011164,116.32174,116.323467,2009-04-13 06:53:28,2009-04-13 13:41:55,40.0101515,116.3226035,134.4765367135657,",出入口,出入口,出入口",",其他,门,门"
0,39.99876,40.000326,116.325674,116.327383,2009-04-13 22:05:40,2009-04-14 01:54:56,39.999543,116.3265285,113.48334446396534,",出入口,出入口,出入口",",门,门,门"
0,39.995474,39.997756,116.325132,116.326401,2009-04-15 16:29:36,2009-04-15 20:15:42,39.996615000000006,116.3257665,137.90691734386095,",文化传媒,出入口,出入口,出入口",",文化宫,门,门,门"
0,39.994532,39.997056,116.324647,116.326739,2009-04-15 21:20:43,2009-04-15 23:33:36,39.995794,116.325693,166.22785275883493,",文化传媒,出入口,出入口,出入口",",展览馆,门,门,门"
