user,lat_min,lat_max,lng_min,lng_max,arr_t,lea_t,lat,lng,radius,poi3
68,39.995676,39.99694,116.416614,116.417736,2008-11-15 20:52:55,2008-11-15 21:42:57,39.996308,116.417175,84.98473071141974,", 出 入 口 ; 其 他 , 出 入 口 ; 其 他 , 出 入 口 ; 其 他 , 出 入 口 ; 门 , 出 入 口 ; 门"
68,39.994517,39.997078,116.416433,116.417768,2008-11-16 05:11:13,2008-11-23 15:31:46,39.9957975,116.4171005,153.3194474790797,", 文 化 传 媒 ; 新 闻 出 版 , 出 入 口 ; 其 他 , 出 入 口 ; 停 车 场 出 入 口 , 出 入 口 ; 其 他 , 出 入 口 ; 其 他 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门"
68,39.949836,39.951473,116.418914,116.419919,2008-11-23 22:30:58,2008-11-24 00:04:00,39.9506545,116.4194165,100.58914374773887,", 出 入 口 ; 门 , 出 入 口 ; 门 , 门 址 ; 门 址 点"
68,39.974742,39.976489,116.415668,116.418229,2008-11-24 19:29:36,2008-11-24 20:24:56,39.9756155,116.4169485,146.08112068046958,", 出 入 口 ; 停 车 场 出 入 口 , 出 入 口 ; 高 速 公 路 入 口 , 出 入 口 ; 其 他 , 出 入 口 ; 停 车 场 出 入 口 , 出 入 口 ; 停 车 场 出 入 口 , 出 入 口 ; 停 车 场 出 入 口 , 出 入 口 ; 其 他 , 出 入 口 ; 停 车 场 出 入 口 , 出 入 口 ; 停 车 场 出 入 口 , 出 入 口 ; 停 车 场 出 入 口 , 出 入 口 ; 停 车 场 出 入 口 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门"
68,39.99576,39.996496,116.417126,116.417661,2008-11-26 06:42:09,2008-11-26 07:14:27,39.996128,116.4173935,46.836751072684464,", 出 入 口 ; 其 他"
68,39.968012,39.970181,116.417923,116.420251,2008-11-26 16:50:55,2008-11-26 17:26:25,39.9690965,116.419087,156.1472766889973,", 出 入 口 ; 停 车 场 出 入 口 , 出 入 口 ; 其 他 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门"
68,39.968926,39.970627,116.418515,116.420381,2008-11-28 03:45:32,2008-11-28 04:39:37,39.9697765,116.419448,123.55333099788784,", 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门"
68,39.994044,39.996692,116.416612,116.417976,2008-11-28 05:54:51,2008-11-28 23:09:36,39.995368,116.417294,158.27104346992243,", 文 化 传 媒 ; 新 闻 出 版 , 出 入 口 ; 其 他 , 出 入 口 ; 停 车 场 出 入 口 , 出 入 口 ; 其 他 , 出 入 口 ; 其 他 , 出 入 口 ; 其 他 , 出 入 口 ; 高 速 公 路 入 口 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门"
68,39.969021,39.971589,116.417769,116.420028,2008-12-01 01:54:39,2008-12-01 02:57:37,39.970305,116.4188985,172.18994889845106,", 出 入 口 ; 其 他 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门"
68,39.995518,39.996729,116.416926,116.419452,2008-12-01 03:30:58,2008-12-01 04:07:18,39.9961235,116.418189,126.91974360101572,", 文 化 传 媒 ; 新 闻 出 版 , 出 入 口 ; 其 他 , 出 入 口 ; 其 他 , 出 入 口 ; 门 , 出 入 口 ; 门 , 门 址 ; 门 址 点"
68,39.968292,39.969458,116.419318,116.42254,2008-12-01 16:09:47,2008-12-01 17:06:45,39.968875,116.420929,151.8245424249881,", 出 入 口 ; 其 他 , 出 入 口 ; 其 他 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门"
68,39.968895,39.97,116.418685,116.421332,2008-12-02 16:09:57,2008-12-02 18:01:21,39.9694475,116.4200085,128.43373907265055,", 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门 , 出 入 口 ; 门"
