9,10,"[(2, [28])]",210,"[(3, [30]), (2, [11])]",0,[2],0,0
17,18,[],218,"[(2, [17])]",0,[1],0,0
18,19,[],219,"[(2, [17])]",0,[1],0,0
21,23,"[(2, [22])]",223,[],0,[2],0,0
24,28,[],228,"[(3, [4]), (2, [7]), (2, [26])]",0,[1],0,0
32,40,"[(2, [2]), (2, [17]), (2, [28])]",240,"[(2, [12, 7]), (2, [26, 7])]",0,[4],0,0
34,42,"[(3, [28]), (2, [4]), (2, [14]), (2, [23])]",242,"[(7, [17]), (3, [6])]",0,[7],0,0
37,51,"[(2, [2]), (2, [3]), (2, [14])]",251,[],0,[4],0,0
39,56,"[(2, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28])]",256,[],0,[4],0,0
45,73,"[(2, [1]), (2, [11]), (2, [13]), (2, [30])]",273,"[(2, [3, 3, 9]), (2, [3, 3, 12]), (2, [23, 3, 3, 3, 3, 3, 3, 3, 28])]",0,[4],0,0
46,74,"[(2, [2])]",274,[],0,[2],0,0
48,82,"[(2, [14])]",282,"[(7, [26]), (4, [6])]",0,[2],0,0
55,103,[],303,"[(2, [26])]",0,[1],0,0
57,111,[],311,[],0,[1],0,0
59,113,[],313,"[(3, [9])]",0,[1],0,0
67,141,"[(2, [13])]",341,"[(2, [1])]",0,[2],0,0
70,147,"[(2, [28]), (2, [30])]",347,"[(4, [17]), (2, [33])]",0,[3],0,0
74,168,"[(2, [16])]",368,"[(2, [4, 2]), (2, [4, 32]), (2, [6, 4]), (2, [24])]",0,[2],0,0
75,169,[],369,"[(2, [9])]",0,[1],0,0
14,15,"[(2, [7, 2, 24, 14]), (2, [24, 6, 2]), (2, [24, 6, 20]), (2, [24, 7, 17]), (2, [24, 20, 2])]",215,"[(2, [4, 4, 4, 4, 4, 4, 4, 4, 4, 31, 17]), (2, [7]), (2, [33])]",0.125,[7],0.153846154,0.139423077
15,16,"[(2, [1]), (2, [12, 12, 12, 12, 12, 17])]",216,"[(2, [1]), (2, [24, 24, 24, 24, 26])]",0.142857143,[3],0.166666667,0.154761905
62,125,"[(2, [17, 17, 17, 17, 17, 17, 17, 33])]",325,"[(3, [2]), (2, [7]), (2, [12]), (2, [17])]",0.125,[3],0.222222222,0.173611111
36,44,"[(2, [7]), (2, [12, 12, 12, 12, 17])]",244,"[(2, [11, 11, 17]), (2, [26])]",0.166666667,[3],0.25,0.208333333
1,1,"[(2, [4, 14, 10]), (2, [4, 14, 14, 16]), (2, [5, 7, 4]), (2, [5, 10, 4]), (2, [5, 14]), (2, [10, 7, 4]), (2, [10, 16, 4])]",201,"[(4, [1]), (2, [7])]",0.095238095,[8],0.333333333,0.214285714
35,43,"[(4, [7]), (2, [21]), (2, [22]), (2, [27])]",243,"[(2, [3, 3, 3, 3, 3, 11, 23]), (2, [7]), (2, [14, 23]), (2, [18]), (2, [23, 2, 2, 11])]",0.4,[4],0.066666667,0.233333333
61,119,"[(2, [2]), (2, [14, 14, 14, 14, 17]), (2, [29])]",319,"[(2, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 18, 2, 2, 2, 2, 2, 2, 2, 2, 14]), (2, [29, 2])]",0.428571429,[2],0.090909091,0.25974026
65,134,"[(2, [2]), (2, [12]), (2, [17]), (2, [28, 28, 28, 33])]",334,"[(3, [1]), (2, [33])]",0.142857143,[5],0.4,0.271428571
54,96,"[(2, [4, 12]), (2, [9]), (2, [12, 14, 28]), (2, [17]), (2, [28, 15, 4])]",296,"[(3, [4, 4, 15]), (2, [2, 4]), (2, [4, 4, 4, 4, 4, 33]), (2, [4, 4, 4, 28]), (2, [30])]",0.3,[5],0.257142857,0.278571429
26,34,"[(3, [30, 2]), (2, [11, 11, 11, 13]), (2, [21])]",234,"[(2, [2, 2, 11]), (2, [2, 2, 14]), (2, [2, 2, 18]), (2, [17, 2]), (2, [17, 18]), (2, [19])]",0.3125,[4],0.285714286,0.299107143
76,174,"[(4, [2]), (3, [11])]",374,"[(3, [12]), (2, [11]), (2, [21]), (2, [26])]",0.428571429,[3],0.222222222,0.325396825
10,11,"[(3, [0, 0, 0, 0, 0, 0, 2]), (3, [17])]",211,"[(2, [0, 0, 4]), (2, [4, 17]), (2, [17, 17, 22, 30, 0]), (2, [19, 22]), (2, [22, 4])]",0.375,[2],0.285714286,0.330357143
38,52,"[(2, [2, 2, 2, 19, 0]), (2, [28])]",252,"[(2, [0]), (2, [2, 2, 14]), (2, [23, 14])]",0.166666667,[4],0.5,0.333333333
42,67,"[(2, [1]), (2, [28])]",267,"[(5, [1]), (4, [2]), (4, [13]), (2, [14]), (2, [17]), (2, [18]), (2, [20]), (2, [26]), (2, [30])]",0.5,[2],0.2,0.35
66,140,"[(4, [7]), (3, [2]), (3, [9]), (3, [19]), (3, [24]), (2, [33])]",340,"[(6, [13]), (5, [19]), (2, [1]), (2, [28]), (2, [30, 9])]",0.333333333,[5],0.368421053,0.350877193
52,91,"[(4, [9]), (2, [26]), (2, [28])]",291,"[(2, [17, 9]), (2, [30, 2])]",0.5,[3],0.25,0.375
40,62,"[(4, [2]), (3, [14]), (2, [11])]",262,"[(5, [2]), (4, [17]), (3, [0]), (2, [26]), (2, [28])]",0.444444444,[5],0.3125,0.378472222
33,41,"[(2, [21]), (2, [25, 2]), (2, [25, 17])]",241,"[(2, [2, 26, 25]), (2, [2, 32, 25]), (2, [11, 25])]",0.4,[2],0.375,0.3875
25,30,"[(2, [0, 4, 17]), (2, [0, 5]), (2, [0, 33, 17]), (2, [4, 17, 5]), (2, [5, 4, 33]), (2, [11]), (2, [31, 17])]",230,"[(3, [17, 2]), (3, [17, 33, 4]), (2, [0]), (2, [33, 2, 4])]",0.352941176,[6],0.434782609,0.393861893
23,25,"[(2, [2, 2, 2, 15]), (2, [11]), (2, [14, 2]), (2, [18])]",225,"[(3, [17]), (3, [18]), (2, [4]), (2, [7, 2])]",0.375,[3],0.416666667,0.395833333
41,65,"[(3, [2]), (2, [1])]",265,"[(4, [0]), (2, [2]), (2, [11]), (2, [17])]",0.6,[2],0.2,0.4
7,8,"[(2, [6]), (2, [14, 5])]",208,"[(2, [17, 14])]",0.333333333,[3],0.5,0.416666667
28,36,"[(2, [14]), (2, [23, 17, 17, 17, 17, 26]), (2, [23, 28, 26])]",236,"[(2, [2]), (2, [14, 14, 14, 28, 26]), (2, [17, 17, 18, 28]), (2, [26, 9])]",0.5,[1],0.333333333,0.416666667
72,163,"[(2, [6, 9, 28]), (2, [6, 30]), (2, [8, 17]), (2, [23]), (2, [28, 2]), (2, [28, 30])]",363,"[(2, [2, 8]), (2, [6]), (2, [7]), (2, [32, 8])]",0.333333333,[5],0.5,0.416666667
13,14,"[(3, [24, 7]), (3, [24, 12]), (2, [3, 24]), (2, [9, 20, 24]), (2, [24, 17]), (2, [24, 24, 24, 24, 34])]",214,"[(3, [7, 24]), (2, [2]), (2, [12, 14, 13]), (2, [12, 24, 13]), (2, [20, 21, 24]), (2, [24, 6]), (2, [32])]",0.444444444,[3],0.40625,0.425347222
63,126,"[(4, [17]), (2, [2, 28]), (2, [4]), (2, [6]), (2, [11, 28]), (2, [14]), (2, [23]), (2, [28, 5]), (2, [28, 26])]",326,"[(2, [0, 9, 28]), (2, [4, 12]), (2, [4, 28]), (2, [5, 17, 28]), (2, [5, 23, 28, 9]), (2, [5, 31, 28]), (2, [9, 5, 28, 12]), (2, [17, 31, 28, 2, 9]), (2, [23, 12]), (2, [23, 17, 28]), (2, [23, 31, 28])]",0.571428571,[2],0.323529412,0.447478992
31,39,"[(3, [17, 26]), (2, [0, 0, 20]), (2, [17, 2]), (2, [26, 2]), (2, [26, 20]), (2, [26, 28])]",239,"[(2, [8, 28, 2]), (2, [17, 8]), (2, [26, 2, 8]), (2, [26, 6, 8])]",0.464285714,[4],0.454545455,0.459415584
71,153,"[(12, [30]), (8, [8]), (4, [6]), (3, [2]), (3, [13, 31]), (3, [22]), (2, [7]), (2, [9, 13]), (2, [27]), (2, [28])]",353,"[(3, [6, 8]), (2, [2])]",0.326086957,[11],0.625,0.475543478
3,3,"[(3, [10, 4]), (2, [2, 4]), (2, [2, 17]), (2, [5, 17]), (2, [16, 14, 17]), (2, [16, 17, 4]), (2, [17, 0]), (2, [17, 10]), (2, [31])]",203,"[(3, [17, 2]), (3, [28, 17, 4]), (2, [0, 4, 17]), (2, [4, 33]), (2, [6])]",0.475,[4],0.481481481,0.478240741
60,115,"[(4, [9]), (3, [14]), (2, [2])]",315,"[(2, [9, 9, 9, 14]), (2, [30])]",0.777777778,[2],0.2,0.488888889
69,144,"[(5, [26]), (3, [34]), (2, [6, 2, 2, 32]), (2, [12]), (2, [15, 2]), (2, [17, 32, 2]), (2, [28])]",344,"[(3, [26, 6]), (2, [2, 17, 32]), (2, [2, 26]), (2, [7, 17, 6]), (2, [11, 2]), (2, [17, 2, 6]), (2, [17, 26, 32])]",0.5,[2],0.5,0.5
49,84,"[(2, [5, 14]), (2, [10, 14]), (2, [14, 9, 13]), (2, [14, 14, 14, 14, 28]), (2, [14, 21, 13]), (2, [23]), (2, [24, 14])]",284,"[(3, [9, 7]), (3, [21]), (2, [7, 10]), (2, [9, 13]), (2, [23])]",0.277777778,[5],0.736842105,0.507309942
20,22,"[(3, [6]), (2, [2, 7]), (2, [2, 17]), (2, [2, 21, 18]), (2, [5, 2, 20]), (2, [5, 12]), (2, [5, 21]), (2, [7, 21]), (2, [11]), (2, [12, 7]), (2, [17, 21]), (2, [20, 12]), (2, [22]), (2, [24]), (2, [27]), (2, [33])]",222,"[(3, [7, 2, 12]), (3, [7, 14, 12]), (2, [1, 22]), (2, [2, 14, 12]), (2, [2, 20]), (2, [5]), (2, [7, 2, 22]), (2, [7, 21]), (2, [11, 7, 12]), (2, [12, 28, 7, 1]), (2, [20, 7, 12]), (2, [22, 2, 12]), (2, [22, 7, 12])]",0.561403509,[1],0.473684211,0.51754386
50,85,"[(3, [2, 14]), (3, [8, 14]), (2, [1]), (2, [5, 14, 5, 6]), (2, [8, 2]), (2, [8, 5]), (2, [17, 14]), (2, [28])]",285,"[(3, [30]), (2, [2, 14]), (2, [5]), (2, [6]), (2, [13]), (2, [26, 2])]",0.472222222,[3],0.588235294,0.530228758
